x,y,i,j,Network,Data VCN_s,Data VCN_1,Data VCN_2,Data VCN_3,Data VCN_4
2348890.399999999900000,5634992.599999999600000,100,63,P100063,19605.000000000000000,170.974999999999990,-44.475000000000001,Waimate District,245.000000000000000
2348755.700000000200000,5640546.700000000200000,100,64,P100064,19604.000000000000000,170.974999999999990,-44.424999999999997,Waimate District,165.000000000000000
2348620.799999999800000,5646100.700000000200000,100,65,P100065,19603.000000000000000,170.974999999999990,-44.375000000000000,Mackenzie District,141.000000000000000
2352867.200000000200000,5635087.900000000400000,101,63,P101063,19827.000000000000000,171.025000000000010,-44.475000000000001,Waimate District,149.000000000000000
2352735.799999999800000,5640642.099999999600000,101,64,P101064,19826.000000000000000,171.025000000000010,-44.424999999999997,Waimate District,132.000000000000000
2352604.399999999900000,5646196.200000000200000,101,65,P101065,19825.000000000000000,171.025000000000010,-44.375000000000000,Timaru District,357.000000000000000
2352473.000000000000000,5651750.200000000200000,101,66,P101066,19824.000000000000000,171.025000000000010,-44.325000000000003,Timaru District,219.000000000000000
2356844.100000000100000,5635180.700000000200000,102,63,P102063,15238.000000000000000,171.074999999999990,-44.475000000000001,Waimate District,94.000000000000000
2356716.100000000100000,5640735.000000000000000,102,64,P102064,15237.000000000000000,171.074999999999990,-44.424999999999997,Waimate District,95.000000000000000
2356588.100000000100000,5646289.200000000200000,102,65,P102065,15236.000000000000000,171.074999999999990,-44.375000000000000,Timaru District,247.000000000000000
2360821.100000000100000,5635271.200000000200000,103,63,P103063,19399.000000000000000,171.125000000000000,-44.475000000000001,Waimate District,39.000000000000000
2364798.100000000100000,5635359.200000000200000,104,63,P104063,19626.000000000000000,171.175000000000010,-44.475000000000001,Timaru District,23.000000000000000
2332835.600000000100000,5640140.900000000400000,96,64,P096064,19659.000000000000000,170.775000000000010,-44.424999999999997,Mackenzie District,1010.000000000000000
2332687.299999999800000,5645694.500000000000000,96,65,P096065,19658.000000000000000,170.775000000000010,-44.375000000000000,Mackenzie District,739.000000000000000
2336960.399999999900000,5634692.200000000200000,97,63,P097063,19800.000000000000000,170.824999999999990,-44.475000000000001,Waimate District,879.000000000000000
2336815.500000000000000,5640246.000000000000000,97,64,P097064,19799.000000000000000,170.824999999999990,-44.424999999999997,Waimate District,827.000000000000000
2336670.600000000100000,5645799.700000000200000,97,65,P097065,19798.000000000000000,170.824999999999990,-44.375000000000000,Waimate District,692.000000000000000
2341078.500000000000000,5629240.799999999800000,98,62,P098062,15211.000000000000000,170.875000000000000,-44.524999999999999,Waimate District,613.000000000000000
2340937.000000000000000,5634794.799999999800000,98,63,P098063,15208.000000000000000,170.875000000000000,-44.475000000000001,Waimate District,399.000000000000000
2340795.500000000000000,5640348.599999999600000,98,64,P098064,15207.000000000000000,170.875000000000000,-44.424999999999997,Waimate District,309.000000000000000
2340653.899999999900000,5645902.400000000400000,98,65,P098065,15206.000000000000000,170.875000000000000,-44.375000000000000,Waimate District,319.000000000000000
2340512.299999999800000,5651456.200000000200000,98,66,P098066,15205.000000000000000,170.875000000000000,-44.325000000000003,Mackenzie District,365.000000000000000
2344913.700000000200000,5634894.900000000400000,99,63,P099063,19371.000000000000000,170.925000000000010,-44.475000000000001,Waimate District,259.000000000000000
2344775.500000000000000,5640448.900000000400000,99,64,P099064,19370.000000000000000,170.925000000000010,-44.424999999999997,Waimate District,240.000000000000000
2344637.299999999800000,5646002.799999999800000,99,65,P099065,19369.000000000000000,170.925000000000010,-44.375000000000000,Waimate District,192.000000000000000
2344499.100000000100000,5651556.599999999600000,99,66,P099066,19368.000000000000000,170.925000000000010,-44.325000000000003,Mackenzie District,266.000000000000000
