site,time,flow
70103,2008-11-19,0.207
70103,2008-11-20,0.198
70103,2008-11-21,0.192
70103,2008-11-22,0.18600000000000003
70103,2008-11-23,0.179
70103,2008-11-24,0.171
70103,2008-11-25,0.16
70103,2008-11-26,0.154
70103,2008-11-27,0.149
70103,2008-11-28,0.142
70103,2008-11-29,0.135
70103,2008-11-30,0.13
70103,2008-12-01,0.126
70103,2008-12-02,0.12
70103,2008-12-03,0.111
70103,2008-12-04,0.10099999999999999
70103,2008-12-05,0.098
70103,2008-12-06,0.091
70103,2008-12-07,0.084
70103,2008-12-08,0.079
70103,2008-12-09,0.071
70103,2008-12-10,0.067
70103,2008-12-11,0.062
70103,2008-12-12,0.059000000000000004
70103,2008-12-13,0.054000000000000006
70103,2008-12-14,0.051
70103,2008-12-15,0.049
70103,2008-12-16,0.047
70103,2008-12-17,2.4930000000000003
70103,2008-12-18,4.744
70103,2008-12-19,2.802
70103,2008-12-20,4.398
70103,2008-12-21,21.933000000000003
70103,2008-12-22,9.863
70103,2008-12-23,5.794
70103,2008-12-24,3.865
70103,2008-12-25,2.8569999999999998
70103,2008-12-26,2.276
70103,2008-12-27,1.848
70103,2008-12-28,1.444
70103,2008-12-29,1.11
70103,2008-12-30,0.875
70103,2008-12-31,0.684
70103,2009-01-01,0.532
70103,2009-01-02,0.434
70103,2009-01-03,0.361
70103,2009-01-04,0.306
70103,2009-01-05,0.27399999999999997
70103,2009-01-06,0.242
70103,2009-01-07,0.21899999999999997
70103,2009-01-08,0.205
70103,2009-01-09,0.191
70103,2009-01-10,0.187
70103,2009-01-11,0.17600000000000002
70103,2009-01-12,0.165
70103,2009-01-13,0.16
70103,2009-01-14,0.157
70103,2009-01-15,0.153
70103,2009-01-16,0.146
70103,2009-01-17,0.139
70103,2009-01-18,0.129
70103,2009-01-19,0.11800000000000001
70103,2009-01-20,0.111
70103,2009-01-21,0.10400000000000001
70103,2009-01-22,0.098
70103,2009-01-23,0.091
70103,2009-01-24,0.084
70103,2009-01-25,0.079
70103,2009-01-26,0.07400000000000001
70103,2009-01-27,0.07200000000000001
70103,2009-01-28,0.067
70103,2009-01-29,0.065
70103,2009-01-30,0.062
70103,2009-01-31,0.061
70103,2009-02-01,0.059000000000000004
70103,2009-02-02,0.053
70103,2009-02-03,0.049
70103,2009-02-04,0.047
70103,2009-02-05,0.045
70103,2009-02-06,0.040999999999999995
70103,2009-02-07,0.038
70103,2009-02-08,0.036000000000000004
70103,2009-02-09,0.031
70103,2009-02-10,0.034
70103,2009-02-11,0.031
70103,2009-02-12,0.048
70103,2009-02-13,0.037000000000000005
70103,2009-02-14,0.141
70103,2009-02-15,0.456
70103,2009-02-16,0.382
70103,2009-02-17,0.37
70103,2009-02-18,0.441
70103,2009-02-19,0.431
70103,2009-02-20,1.531
70103,2009-02-21,303.094
70103,2009-02-22,61.078
70103,2009-02-23,26.480999999999998
70103,2009-02-24,32.847
70103,2009-02-25,20.581
70103,2009-02-26,13.687999999999999
70103,2009-02-27,9.692
70103,2009-02-28,7.566
70103,2009-03-01,130.404
70103,2009-03-02,28.951999999999998
70103,2009-03-03,19.043
70103,2009-03-04,14.415999999999999
70103,2009-03-05,9.406
70103,2009-03-06,7.112
70103,2009-03-07,5.797999999999999
70103,2009-03-08,4.752
70103,2009-03-09,4.202
70103,2009-03-10,3.676
70103,2009-03-11,3.298
70103,2009-03-12,3.0410000000000004
70103,2009-03-13,2.722
70103,2009-03-14,2.495
70103,2009-03-15,2.332
70103,2009-03-16,2.16
70103,2009-03-17,2.03
70103,2009-03-18,1.93
