crc,take_type,allo_block,use_type,wap,time,mon_allo_m3,mon_restr_allo_m3,ann_restr_allo_m3,usage_est,mon_usage_m3,ann_allo_m3,sd_usage
CRC144717,Take Groundwater,A,irrigation,BZ18/0001,2014-10-31,4711.9,4711.9,80729.7,3479.45,,80729.7,0.0
CRC144717,Take Groundwater,A,irrigation,BZ18/0001,2014-11-30,9423.7,9423.7,80729.7,4375.55,,80729.7,0.0
CRC144717,Take Groundwater,A,irrigation,BZ18/0001,2014-12-31,9737.8,9737.8,80729.7,5069.83,,80729.7,0.0
CRC144717,Take Groundwater,A,irrigation,BZ18/0001,2015-01-31,9737.8,9737.8,80729.7,5069.83,,80729.7,0.0
CRC144717,Take Groundwater,A,irrigation,BZ18/0001,2015-02-28,8795.5,8795.5,80729.7,4101.07,,80729.7,0.0
CRC144717,Take Groundwater,A,irrigation,BZ18/0001,2015-03-31,9737.8,9737.8,80729.7,2098.97,,80729.7,0.0
CRC144717,Take Groundwater,A,irrigation,BZ18/0001,2015-04-30,9423.7,9423.7,80729.7,1073.71,,80729.7,0.0
CRC144717,Take Groundwater,A,irrigation,BZ18/0001,2015-05-31,9737.8,9737.8,80729.7,137.24,,80729.7,0.0
CRC144717,Take Groundwater,A,irrigation,BZ18/0001,2015-06-30,9423.7,9423.7,80729.7,24.22,,80729.7,0.0
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2013-10-31,49102.8,49102.8,643247.3,5017.33,,643247.3,5017.33
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2013-11-30,73654.3,73654.3,643247.3,32483.99,,643247.3,32483.99
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2013-12-31,76109.4,76109.4,643247.3,42390.0,,643247.3,42390.0
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2014-01-31,76109.4,76109.4,643247.3,62845.26,,643247.3,62845.26
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2014-02-28,68744.0,68744.0,643247.3,54161.42,,643247.3,54161.42
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2014-03-31,76109.4,76109.4,643247.3,27016.39,,643247.3,27016.39
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2014-04-30,73654.3,73654.3,643247.3,4888.68,,643247.3,4888.68
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2014-05-31,76109.4,76109.4,643247.3,257.3,,643247.3,257.3
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2014-06-30,73654.3,73654.3,643247.3,0.0,,643247.3,0.0
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2014-07-31,76109.4,76109.4,896127.0000000001,89.61,,896127.0000000001,89.61
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2014-08-31,76109.4,76109.4,896127.0000000001,1792.25,,896127.0000000001,1792.25
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2014-09-30,73654.3,73654.3,896127.0000000001,17743.31,,896127.0000000001,17743.31
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2014-10-31,76109.4,76109.4,896127.0000000001,38623.07,,896127.0000000001,38623.07
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2014-11-30,73654.3,73654.3,896127.0000000001,48570.08,,896127.0000000001,48570.08
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2014-12-31,76109.4,76109.4,896127.0000000001,56276.78,,896127.0000000001,56276.78
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2015-01-31,76109.4,76109.4,896127.0000000001,56276.78,,896127.0000000001,56276.78
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2015-02-28,68744.0,68744.0,896127.0000000001,45523.25,,896127.0000000001,45523.25
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2015-03-31,76109.4,76109.4,896127.0000000001,23299.3,,896127.0000000001,23299.3
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2015-04-30,73654.3,73654.3,896127.0000000001,11918.49,,896127.0000000001,11918.49
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2015-05-31,76109.4,76109.4,896127.0000000001,1523.42,,896127.0000000001,1523.42
CRC120449,Take Surface Water,B,irrigation,BZ18/0008,2015-06-30,73654.3,73654.3,896127.0000000001,268.84,,896127.0000000001,268.84
CRC030170,Take Groundwater,A,irrigation,J38/0521,2002-08-31,12960.0,12960.0,405648.0,4303.93,,405648.0,0.0
CRC030170,Take Groundwater,A,irrigation,J38/0521,2002-09-30,38880.0,38880.0,405648.0,11705.05,,405648.0,0.0
CRC030170,Take Groundwater,A,irrigation,J38/0521,2002-10-31,40176.0,40176.0,405648.0,13973.92,,405648.0,0.0
CRC030170,Take Groundwater,A,irrigation,J38/0521,2002-11-30,38880.0,38880.0,405648.0,18378.44,,405648.0,0.0
CRC030170,Take Groundwater,A,irrigation,J38/0521,2002-12-31,40176.0,40176.0,405648.0,28413.28,,405648.0,0.0
CRC030170,Take Groundwater,A,irrigation,J38/0521,2003-01-31,40176.0,40176.0,405648.0,26793.28,,405648.0,0.0
CRC030170,Take Groundwater,A,irrigation,J38/0521,2003-02-28,36288.0,36288.0,405648.0,23788.69,,405648.0,0.0
CRC030170,Take Groundwater,A,irrigation,J38/0521,2003-03-31,40176.0,40176.0,405648.0,14807.36,,405648.0,0.0
CRC030170,Take Groundwater,A,irrigation,J38/0521,2003-04-30,38880.0,38880.0,405648.0,4848.65,,405648.0,0.0
CRC030170,Take Groundwater,A,irrigation,J38/0521,2003-05-31,40176.0,40176.0,405648.0,1621.29,,405648.0,0.0
CRC030170,Take Groundwater,A,irrigation,J38/0521,2003-08-31,40176.0,40176.0,474336.0,1306.21,,474336.0,0.0
CRC030170,Take Groundwater,A,irrigation,J38/0521,2003-09-30,38880.0,38880.0,474336.0,9258.55,,474336.0,0.0
CRC030170,Take Groundwater,A,irrigation,J38/0521,2003-10-31,40176.0,40176.0,474336.0,17917.69,,474336.0,0.0
CRC030170,Take Groundwater,A,irrigation,J38/0521,2003-11-30,38880.0,38880.0,474336.0,25796.85,,474336.0,0.0
CRC030170,Take Groundwater,A,irrigation,J38/0521,2003-12-31,40176.0,40176.0,474336.0,34560.84,,474336.0,0.0
CRC030170,Take Groundwater,A,irrigation,J38/0521,2004-01-31,40176.0,40176.0,474336.0,33124.58,,474336.0,0.0
CRC030170,Take Groundwater,A,irrigation,J38/0521,2004-02-29,37584.0,37584.0,474336.0,22500.71,,474336.0,0.0
CRC030170,Take Groundwater,A,irrigation,J38/0521,2004-03-31,40176.0,40176.0,474336.0,15772.43,,474336.0,0.0
CRC030170,Take Groundwater,A,irrigation,J38/0521,2004-04-30,38880.0,38880.0,474336.0,5049.07,,474336.0,0.0
CRC030170.1,Take Groundwater,A,irrigation,J38/0521,2004-08-31,18144.0,18144.0,410832.0,2364.76,,410832.0,0.0
CRC030170.1,Take Groundwater,A,irrigation,J38/0521,2004-09-30,38880.0,38880.0,410832.0,9560.68,,410832.0,0.0
CRC030170.1,Take Groundwater,A,irrigation,J38/0521,2004-10-31,40176.0,40176.0,410832.0,15774.21,,410832.0,0.0
CRC030170.1,Take Groundwater,A,irrigation,J38/0521,2004-11-30,38880.0,38880.0,410832.0,21630.13,,410832.0,0.0
CRC030170.1,Take Groundwater,A,irrigation,J38/0521,2004-12-31,40176.0,40176.0,410832.0,21571.01,,410832.0,0.0
CRC030170.1,Take Groundwater,A,irrigation,J38/0521,2005-01-31,40176.0,40176.0,410832.0,24896.73,,410832.0,0.0
CRC030170.1,Take Groundwater,A,irrigation,J38/0521,2005-02-28,36288.0,36288.0,410832.0,20337.05,,410832.0,0.0
CRC030170.1,Take Groundwater,A,irrigation,J38/0521,2005-03-31,40176.0,40176.0,410832.0,11358.56,,410832.0,0.0
CRC030170.1,Take Groundwater,A,irrigation,J38/0521,2005-04-30,38880.0,38880.0,410832.0,6960.35,,410832.0,0.0
CRC030170.1,Take Groundwater,A,irrigation,J38/0521,2005-08-31,40176.0,40176.0,382320.0,2670.97,,382320.0,0.0
CRC030170.1,Take Groundwater,A,irrigation,J38/0521,2005-09-30,38880.0,38880.0,382320.0,5614.87,,382320.0,0.0
CRC030170.1,Take Groundwater,A,irrigation,J38/0521,2005-10-31,40176.0,40176.0,382320.0,10867.78,,382320.0,0.0
CRC030170.1,Take Groundwater,A,irrigation,J38/0521,2005-11-30,38880.0,38880.0,382320.0,20140.15,,382320.0,0.0
CRC030170.1,Take Groundwater,A,irrigation,J38/0521,2005-12-31,40176.0,40176.0,382320.0,19616.41,,382320.0,0.0
CRC030170.1,Take Groundwater,A,irrigation,J38/0521,2006-01-31,40176.0,40176.0,382320.0,28255.07,,382320.0,0.0
CRC030170.1,Take Groundwater,A,irrigation,J38/0521,2006-02-28,36288.0,36288.0,382320.0,20831.32,,382320.0,0.0
CRC030170.1,Take Groundwater,A,irrigation,J38/0521,2006-03-31,67392.0,67392.0,382320.0,12175.65,,382320.0,0.0
CRC030170.2,Take Groundwater,A,irrigation,J38/0521,2006-04-30,11664.0,11664.0,90720.0,1371.34,,90720.0,0.0
CRC030170.2,Take Groundwater,A,irrigation,J38/0521,2006-07-31,40176.0,40176.0,473040.0,88.97,,473040.0,0.0
CRC030170.2,Take Groundwater,A,irrigation,J38/0521,2006-08-31,40176.0,40176.0,473040.0,4478.33,,473040.0,0.0
CRC030170.2,Take Groundwater,A,irrigation,J38/0521,2006-09-30,38880.0,38880.0,473040.0,14751.88,,473040.0,0.0
CRC030170.2,Take Groundwater,A,irrigation,J38/0521,2006-10-31,40176.0,40176.0,473040.0,24718.22,,473040.0,0.0
CRC030170.2,Take Groundwater,A,irrigation,J38/0521,2006-11-30,38880.0,38880.0,473040.0,25784.12,,473040.0,0.0
CRC030170.2,Take Groundwater,A,irrigation,J38/0521,2006-12-31,40176.0,40176.0,473040.0,26485.87,,473040.0,0.0
CRC030170.2,Take Groundwater,A,irrigation,J38/0521,2007-01-31,40176.0,40176.0,473040.0,23334.48,,473040.0,0.0
CRC030170.2,Take Groundwater,A,irrigation,J38/0521,2007-02-28,36288.0,36288.0,473040.0,23164.96,,473040.0,0.0
CRC030170.2,Take Groundwater,A,irrigation,J38/0521,2007-03-31,40176.0,40176.0,473040.0,17495.77,,473040.0,0.0
CRC030170.2,Take Groundwater,A,irrigation,J38/0521,2007-04-30,38880.0,38880.0,473040.0,7444.34,,473040.0,0.0
CRC030170.2,Take Groundwater,A,irrigation,J38/0521,2007-05-31,40176.0,40176.0,473040.0,3975.37,,473040.0,0.0
CRC030170.2,Take Groundwater,A,irrigation,J38/0521,2007-07-31,40176.0,40176.0,474336.0,51.45,,474336.0,0.0
CRC030170.2,Take Groundwater,A,irrigation,J38/0521,2007-08-31,40176.0,40176.0,474336.0,2712.02,,474336.0,0.0
CRC030170.2,Take Groundwater,A,irrigation,J38/0521,2007-09-30,38880.0,38880.0,474336.0,9906.84,,474336.0,0.0
CRC030170.2,Take Groundwater,A,irrigation,J38/0521,2007-10-31,40176.0,40176.0,474336.0,24068.42,,474336.0,0.0
CRC030170.2,Take Groundwater,A,irrigation,J38/0521,2007-11-30,38880.0,38880.0,474336.0,26889.51,,474336.0,0.0
CRC030170.2,Take Groundwater,A,irrigation,J38/0521,2007-12-31,40176.0,40176.0,474336.0,23095.07,,474336.0,0.0
